Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Pilani Investment & Industries","https://scanx.trade/company/pilani-investment-industries-corporation-ltd","4,596.00","-1.20%","4,651.60","1,745","5,088.81","4,226.50","30.80","5,980.00","3,279.55","0.43%","-10.60%","19.71%","159.10%","142.49%","0.30","0.32%","-","1.62%","-","4,810.00","5,101.97","45.95","-","-"
"VIP Industries","https://scanx.trade/company/vip-industries-ltd","357.55","-0.60%","360.55","1,72,773","5,079.05","-21.63","16.35","492.30","248.35","2.51%","-3.74%","13.33%","-45.06%","-10.77%","11.03","-","8.01%","-1.98%","0.04","372.85","400.66","42.52","65.79%","80.00%"
"TVS Supply Chain Solutions","https://scanx.trade/company/tvs-supply-chain-solutions-ltd","114.97","0.61%","114.00","2,86,334","5,072.25","53.13","34.23","147.00","92.16","22.36%","6.09%","-16.66%","-42.80%","-42.80%","2.58","-","-","6.56%","-","108.83","122.30","52.32","-","-"
"Ashapura Minechem","https://scanx.trade/company/ashapura-minechem-ltd","528.50","-2.59%","535.00","24,02,464","5,048.55","13.86","-2.79","924.90","301.60","-22.46%","-24.70%","46.12%","387.55%","366.87%","3.64","0.18%","16.70%","17.70%","17.60","721.91","600.17","35.14","50.00%","75.00%"
"Canara Robeco Asset Management Company","https://scanx.trade/company/canara-robeco-asset-management-company-ltd","251.70","-0.14%","252.00","2,15,378","5,019.34","24.60","30.80","353.40","244.00","0.54%","-16.27%","-16.23%","-16.23%","-16.23%","7.40","0.99%","-","43.86%","-","275.92","-","40.57","-","75.00%"
"Gokul Agro Resources","https://scanx.trade/company/gokul-agro-resources-ltd","169.58","-0.70%","169.50","1,31,383","5,004.08","16.77","16.86","221.50","96.55","10.97%","-17.54%","26.86%","204.29%","1,412.76%","4.13","-","17.27%","35.50%","11.16","169.31","168.35","51.38","50.00%","75.00%"
"Rain Industries","https://scanx.trade/company/rain-industries-ltd","148.64","-3.81%","154.00","33,56,953","4,999.44","-147.10","34.23","176.00","99.90","10.45%","35.51%","18.45%","-4.01%","-10.27%","0.74","0.65%","-10.25%","4.80%","-","146.81","139.62","48.17","68.14%","70.00%"
"CMS Info Systems","https://scanx.trade/company/cms-info-systems-ltd","303.60","0.76%","300.20","9,67,765","4,993.39","15.40","34.23","541.15","297.00","-5.01%","-15.14%","-28.56%","8.39%","27.46%","2.12","3.15%","17.83%","21.24%","21.73","328.66","403.08","36.60","69.74%","80.00%"
"VST Tillers Tractors","https://scanx.trade/company/vst-tillers-tractors-ltd","5,776.00","-0.38%","5,775.00","11,600","4,992.40","40.21","21.80","6,374.00","3,082.00","6.33%","4.70%","70.11%","155.33%","213.79%","4.72","0.35%","11.20%","11.53%","127.95","5,826.20","5,121.84","47.00","50.00%","70.00%"
"Ceigall India","https://scanx.trade/company/ceigall-india-ltd","283.90","-1.05%","286.90","1,63,599","4,945.68","19.80","19.99","307.90","222.61","3.29%","18.74%","8.01%","-26.59%","-26.59%","2.58","-","33.57%","19.22%","17.06","276.12","260.27","50.39","70.00%","70.00%"
"PTC India","https://scanx.trade/company/ptc-india-ltd","166.52","1.56%","163.00","11,07,967","4,929.13","5.02","14.61","207.00","135.00","5.71%","3.39%","18.03%","84.10%","126.25%","0.83","7.13%","8.63%","17.05%","17.36","167.28","172.52","43.46","50.00%","65.00%"
"Mastek","https://scanx.trade/company/mastek-ltd","1,584.60","-0.17%","1,593.50","1,22,935","4,910.14","12.99","49.35","2,818.00","1,559.10","-21.07%","-29.16%","-33.19%","-4.76%","35.08%","1.84","1.45%","17.48%","17.14%","98.56","1,982.87","2,258.44","24.97","66.08%","70.00%"
"Aurionpro Solutions","https://scanx.trade/company/aurionpro-solutions-ltd","888.70","2.78%","864.65","3,38,461","4,906.83","23.77","49.35","1,665.90","861.30","-2.87%","-19.59%","-32.69%","370.39%","2,116.21%","2.97","0.39%","19.78%","14.73%","27.64","995.03","1,213.96","40.87","50.00%","70.00%"
"VRL Logistics","https://scanx.trade/company/vrl-logistics-ltd","277.50","-3.65%","288.00","16,21,984","4,903.06","21.13","34.23","324.50","216.83","11.11%","3.04%","18.67%","0.42%","115.12%","4.61","2.60%","9.42%","15.71%","7.80","271.52","278.78","46.90","50.00%","70.00%"
"Fedbank Financial Services","https://scanx.trade/company/fedbank-financial-services-ltd","130.87","-3.08%","134.00","23,71,662","4,895.54","16.06","30.80","178.48","80.00","-9.90%","-10.97%","39.28%","-6.69%","-6.69%","1.86","-","13.29%","10.24%","7.02","147.72","135.63","35.60","50.00%","60.00%"
"Surya Roshni","https://scanx.trade/company/surya-roshni-ltd","223.83","0.04%","223.40","4,00,919","4,871.34","15.34","24.85","359.00","212.55","-5.48%","-15.50%","-1.29%","34.76%","165.74%","1.94","2.46%","15.19%","18.98%","33.31","251.76","289.11","34.28","50.00%","70.00%"
"Juniper Hotels","https://scanx.trade/company/juniper-hotels-ltd","218.32","1.90%","211.80","13,12,720","4,857.67","32.50","-1.45","345.55","205.75","-1.55%","-10.05%","-10.63%","-45.62%","-45.62%","1.73","-","-0.42%","6.22%","2.08","239.70","273.64","38.52","50.00%","-"
"Thomas Cook","https://scanx.trade/company/thomas-cook-india-ltd","102.93","-1.88%","105.80","8,30,601","4,841.63","19.28","18.50","188.29","101.81","-16.92%","-31.52%","-19.11%","66.15%","127.72%","2.79","0.43%","13.34%","14.79%","5.56","126.75","153.35","26.74","61.26%","80.00%"
"CARE Ratings","https://scanx.trade/company/care-ratings-ltd","1,612.30","-0.43%","1,614.00","21,363","4,840.94","29.65","34.23","1,964.00","1,052.00","2.92%","4.90%","39.70%","149.91%","246.73%","5.62","1.11%","14.15%","22.60%","34.60","1,615.11","1,637.90","49.77","65.69%","70.00%"
"Puravankara","https://scanx.trade/company/puravankara-ltd","198.48","-4.00%","206.76","14,92,345","4,706.95","-34.74","19.99","338.95","204.10","-12.71%","-19.17%","-14.72%","148.10%","152.04%","3.03","-","-","17.95%","-","235.99","262.83","25.68","50.00%","-"
"Gokaldas Exports","https://scanx.trade/company/gokaldas-exports-ltd","639.70","-5.91%","682.00","24,01,117","4,685.15","42.56","-29.04","1,060.00","531.00","14.75%","-31.10%","-22.15%","59.19%","662.00%","2.31","0.14%","19.52%","11.54%","17.59","699.63","813.60","39.78","50.00%","65.00%"
"Smartworks Coworking Spaces","https://scanx.trade/company/smartworks-coworking-spacesltd","410.05","2.40%","402.25","61,512","4,685.00","-317.22","34.23","619.00","392.70","-6.78%","-18.95%","-7.86%","-7.86%","-7.86%","8.97","-","-","7.48%","-","458.36","-","33.66","-","-"
"Just Dial","https://scanx.trade/company/just-dial-ltd","550.15","-4.88%","578.00","11,09,801","4,678.73","13.55","34.23","1,048.90","573.25","-14.66%","-26.16%","-38.36%","-7.08%","-23.00%","1.22","-","9.02%","11.19%","16.40","680.30","795.78","21.15","65.51%","70.00%"
"Midwest","https://scanx.trade/company/midwest-ltd","1,292.50","-1.40%","1,315.00","20,004","4,673.79","40.25","34.23","1,859.90","1,048.50","1.98%","7.85%","13.33%","13.33%","13.33%","5.46","-","-","23.76%","-","1,486.31","-","37.35","-","-"
"Saatvik Green Energy","https://scanx.trade/company/saatvik-green-energy-ltd","366.95","-1.26%","370.40","2,14,340","4,664.12","12.06","4.69","567.00","345.00","1.05%","-11.32%","-16.73%","-16.73%","-16.73%","3.93","-","-","60.45%","-","394.78","-","32.79","-","-"
"Responsive Industries","https://scanx.trade/company/responsive-industries-ltd","174.53","-1.10%","173.39","1,22,276","4,653.12","26.21","27.44","251.00","155.80","6.63%","-18.65%","-13.00%","39.68%","-0.61%","3.21","0.06%","2.35%","15.72%","6.74","186.65","199.90","38.18","50.00%","-"
"NIIT Learning Systems","https://scanx.trade/company/niit-learning-systems-ltd","337.30","-0.66%","338.10","26,850","4,625.58","21.25","29.64","454.00","300.05","-8.92%","-13.50%","-20.37%","-11.93%","-11.93%","3.49","0.88%","24.95%","23.37%","16.45","389.10","354.15","32.07","68.11%","-"
"Sterling & Wilson Renewable Energy","https://scanx.trade/company/sterling-wilson-solar-ltd","197.99","-1.43%","200.56","12,53,986","4,623.69","-12.27","-11.88","348.90","176.60","7.06%","-12.36%","-21.63%","-33.10%","-13.11%","9.97","-","488.96%","17.09%","-","202.69","251.43","46.71","50.00%","70.00%"
"Shilchar Technologies","https://scanx.trade/company/shilchar-technologies-ltd","4,035.00","4.14%","3,880.00","44,643","4,616.12","23.98","4.69","4,350.00","2,852.50","36.40%","-2.27%","-3.52%","-3.52%","-3.52%","10.57","0.21%","-","56.39%","-","3,681.01","-","58.09","-","-"
"Dhanuka Agritech","https://scanx.trade/company/dhanuka-agritech-ltd","1,015.30","-3.99%","1,057.50","3,72,849","4,576.80","16.02","20.23","1,975.00","1,017.80","-6.54%","-18.78%","-21.36%","51.58%","39.85%","3.39","0.19%","19.04%","27.37%","55.96","1,118.49","1,428.75","32.78","50.00%","-"
"Hindustan Construction Company","https://scanx.trade/company/hcc-hindustan-construction-company-ltd","17.38","-2.47%","17.87","1,30,98,331","4,552.64","23.75","19.99","33.36","16.92","-4.35%","-13.49%","-15.18%","53.13%","159.02%","2.23","-","-","34.46%","-","19.12","22.43","33.67","-","-"
"Datamatics Global Services","https://scanx.trade/company/datamatics-global-services-ltd","769.95","-0.70%","776.10","77,323","4,550.90","23.50","49.35","1,120.00","522.00","18.72%","-9.84%","33.67%","137.93%","602.51%","3.15","0.65%","16.15%","14.67%","32.04","760.16","805.42","50.72","50.00%","70.00%"
"Bannari Amman Sugars","https://scanx.trade/company/bannari-amman-sugars-ltd","3,605.40","-0.23%","3,617.70","621","4,521.06","31.97","13.41","4,444.00","3,000.30","0.47%","0.03%","3.00%","31.02%","106.43%","2.48","0.35%","9.24%","9.25%","115.74","3,602.40","3,711.90","52.20","50.00%","-"
"India Tourism Development Corporation","https://scanx.trade/company/india-tourism-development-corporation-ltd","525.70","-0.96%","532.95","13,376","4,508.90","57.65","-1.45","712.80","473.00","4.92%","-8.98%","3.04%","63.06%","62.65%","13.44","0.55%","17.69%","26.26%","7.66","549.89","582.65","41.98","50.00%","-"
"Entero Healthcare Solutions","https://scanx.trade/company/entero-healthcare-solutions-ltd","1,032.00","-2.77%","1,056.00","1,01,181","4,490.33","35.32","14.61","1,510.80","944.00","-10.91%","-1.72%","-17.72%","-10.23%","-10.23%","2.64","-","2.42%","9.71%","8.99","1,105.50","1,156.32","36.15","60.00%","70.00%"
"Indigo Paints","https://scanx.trade/company/indigo-paints-ltd","936.80","-1.13%","945.10","74,395","4,466.26","30.94","37.21","1,345.90","910.00","-10.57%","-28.31%","-12.00%","-7.88%","-62.86%","4.23","0.37%","16.50%","17.25%","29.92","1,082.65","1,122.88","26.35","50.00%","70.00%"
"Unimech Aerospace and Manufacturing","https://scanx.trade/company/unimech-aerospace-and-manufacturing-ltd","876.55","-2.51%","909.80","28,622","4,457.86","68.80","-5.98","1,397.00","807.05","3.21%","-9.16%","-6.94%","-36.31%","-36.31%","6.47","-","-","14.87%","-","909.72","1,048.33","43.50","-","-"
"RattanIndia Power","https://scanx.trade/company/rattanindia-power-ltd","8.29","-","8.30","84,94,862","4,451.82","33.20","35.41","16.92","7.88","3.24%","-17.43%","-11.43%","133.52%","196.07%","0.98","-","-","8.06%","-","8.90","11.23","36.11","50.00%","70.00%"
"IFB Industries","https://scanx.trade/company/ifb-industries-ltd","1,097.50","0.36%","1,096.70","58,354","4,446.94","37.00","55.56","2,019.80","1,058.50","-18.78%","-35.63%","-0.64%","28.49%","-10.06%","4.80","-","7.02%","17.13%","21.85","1,320.72","1,512.44","33.62","50.00%","-"
"Sunflag Iron & Steel Company","https://scanx.trade/company/sunflag-iron-steel-company-ltd","246.04","-1.27%","247.41","1,17,951","4,434.12","21.15","18.50","322.00","196.37","2.86%","-3.63%","11.61%","76.82%","284.14%","0.55","0.30%","-","2.98%","-","253.18","268.76","47.85","50.00%","-"
"GHCL","https://scanx.trade/company/ghcl-ltd","479.20","-2.93%","490.50","93,054","4,405.48","8.94","16.37","670.00","475.00","-9.04%","-15.60%","-18.15%","-7.50%","137.42%","1.25","2.53%","26.65%","22.32%","54.12","532.31","583.75","32.73","68.01%","70.00%"
"V Mart Retail","https://scanx.trade/company/v-mart-retail-ltd","553.80","-3.69%","577.95","1,21,656","4,399.33","34.85","14.61","945.00","550.50","-3.49%","-30.06%","-24.29%","-9.26%","-16.34%","5.41","-","-12.95%","14.23%","-","637.92","763.20","33.26","50.00%","70.00%"
"GNG Electronics","https://scanx.trade/company/gng-electronics-ltd","385.75","2.83%","370.15","2,19,073","4,397.99","40.86","14.61","401.70","239.00","53.08%","16.26%","15.71%","15.71%","15.71%","6.40","-","-","38.19%","-","305.92","-","75.51","-","-"
"Swaraj Engines","https://scanx.trade/company/swaraj-engines-ltd","3,595.30","-0.91%","3,627.90","5,870","4,367.38","23.55","57.18","4,720.00","2,545.55","3.68%","-3.89%","33.42%","129.34%","177.38%","11.24","2.88%","37.41%","52.20%","115.37","3,583.73","3,939.22","50.74","50.00%","70.00%"
"TARC","https://scanx.trade/company/tarc-anant-raj-global-ltd","146.50","-2.22%","151.00","2,16,948","4,323.16","-50.85","19.99","206.10","103.22","-6.11%","9.30%","19.87%","294.35%","339.94%","4.09","-","-","-6.50%","-","159.79","163.64","39.93","50.00%","70.00%"
"SIS","https://scanx.trade/company/security-intelligence-services-ltd","305.30","1.13%","301.90","9,39,268","4,304.75","-22.76","34.23","401.85","287.90","-5.05%","-9.10%","-1.28%","-15.05%","-28.83%","1.70","-","7.87%","6.31%","11.43","328.11","346.47","40.07","50.00%","-"
"PDS","https://scanx.trade/company/pds-ltd","304.25","1.32%","300.30","1,40,012","4,301.44","23.52","14.61","466.00","289.95","-2.22%","-17.02%","-28.14%","-8.74%","137.32%","2.49","0.57%","16.27%","20.32%","11.00","340.65","358.46","37.82","50.00%","-"
"Man Infraconstruction","https://scanx.trade/company/man-infraconstruction-ltd","106.34","-1.48%","107.50","1,90,422","4,292.59","16.32","19.99","190.83","99.00","0.90%","-17.16%","-31.02%","33.09%","351.93%","2.00","0.77%","20.00%","22.33%","7.96","116.76","146.76","38.58","50.00%","55.00%"
"Electrosteel Castings","https://scanx.trade/company/electrosteel-castings-ltd","69.12","-0.97%","69.50","5,91,602","4,272.89","13.74","25.99","138.75","66.10","-1.05%","-8.40%","-26.05%","104.50%","179.84%","0.73","2.01%","14.47%","14.70%","14.98","73.24","93.90","41.42","50.00%","65.00%"
"Texmaco Rail & Engineering","https://scanx.trade/company/texmaco-rail-engineering-ltd","104.74","-0.84%","105.60","11,20,472","4,261.50","24.60","-5.98","189.00","104.81","-12.18%","-18.62%","-22.18%","131.98%","285.22%","1.45","0.70%","0.83%","14.75%","3.42","123.24","140.81","29.43","50.00%","55.00%"
"Rajesh Exports","https://scanx.trade/company/rajesh-exports-ltd","143.81","-4.76%","150.00","16,83,693","4,246.13","26.56","68.36","237.88","149.15","-11.87%","-23.46%","-12.78%","-79.27%","-71.72%","0.27","-","-","1.50%","-","175.10","186.68","29.39","-","-"
"Bajaj Electricals","https://scanx.trade/company/bajaj-electricals-ltd","364.80","-2.09%","372.60","1,16,489","4,209.37","120.35","55.56","711.00","367.70","-7.07%","-25.29%","-42.79%","-63.27%","-57.07%","2.51","0.80%","9.43%","12.14%","10.97","423.64","546.31","29.42","69.37%","70.00%"
"GMM Pfaudler","https://scanx.trade/company/gmm-pfaudler-ltd","933.10","-3.24%","964.30","91,503","4,194.96","341.17","-5.98","1,418.00","937.00","-4.80%","-19.35%","-15.21%","-40.16%","-31.93%","3.68","0.21%","17.87%","10.11%","34.78","1,015.24","1,140.86","35.22","50.00%","70.00%"
"Jtekt","https://scanx.trade/company/jtekt-india-ltd","149.28","5.62%","141.34","4,03,867","4,140.98","43.46","130.59","188.50","103.76","14.22%","-0.53%","25.00%","47.22%","73.70%","3.98","0.45%","11.87%","15.27%","3.07","142.54","145.23","61.33","50.00%","-"
"Skipper","https://scanx.trade/company/skipper-ltd","366.35","-0.68%","367.00","1,99,404","4,136.24","22.73","-5.98","588.00","327.10","8.74%","-23.08%","-6.67%","254.78%","502.85%","3.25","0.03%","4.63%","26.00%","9.53","390.91","474.39","42.78","50.00%","65.00%"
"Sun Pharma Advanced Research Co","https://scanx.trade/company/sun-pharma-advanced-research-company-ltd","127.08","-1.05%","128.43","3,08,148","4,123.74","-15.51","34.23","204.40","109.30","1.71%","-4.98%","4.37%","-32.87%","-22.35%","-12.06","-","-307.91%","862.23%","-","133.25","143.60","40.32","50.00%","-"
"Bansal Wire Industries","https://scanx.trade/company/bansal-wire-industries-ltd","262.55","-1.00%","265.20","17,462","4,110.38","26.89","18.50","434.30","252.30","-0.64%","-17.09%","-25.17%","-25.06%","-25.06%","3.08","-","17.09%","16.84%","4.78","286.60","339.14","36.74","60.00%","-"
"Madhya Bharat Agro","https://scanx.trade/company/madhya-bharat-agro-ltd","468.75","-1.41%","476.00","2,37,672","4,107.51","39.79","75.63","489.45","240.00","14.82%","16.56%","55.96%","-24.62%","1,051.72%","9.09","0.11%","37.82%","20.64%","3.32","430.09","409.61","60.92","50.00%","-"
"Mahindra Logistic","https://scanx.trade/company/mahindra-logistics-ltd","413.75","1.45%","407.00","2,44,488","4,103.60","-236.95","34.23","432.70","217.38","42.52%","26.72%","72.75%","20.47%","-5.90%","3.53","0.45%","-10.33%","6.09%","-","347.17","333.74","64.37","68.66%","-"
"Capillary Technologies","https://scanx.trade/company/capillary-technologies-india-ltd","514.05","0.42%","516.00","98,915","4,077.02","214.71","49.35","798.95","489.00","-16.62%","-25.42%","-15.24%","-15.24%","-15.24%","4.31","-","-","3.14%","-","612.91","-","32.68","-","70.00%"
"Northern Arc Capital","https://scanx.trade/company/northern-arc-capital-ltd","252.05","-0.77%","256.55","1,56,672","4,072.42","13.20","30.80","290.00","141.47","-7.91%","-5.37%","43.92%","-22.06%","-22.06%","1.11","-","-","9.75%","-","257.29","251.17","46.94","50.00%","70.00%"
"Crizac","https://scanx.trade/company/crizac-ltd","231.55","0.56%","233.00","1,26,543","4,051.72","20.76","34.23","387.95","217.30","2.55%","-16.59%","-24.73%","-24.73%","-24.73%","6.73","-","-","39.69%","-","252.49","-","43.46","-","-"
"Zota Healthcare","https://scanx.trade/company/zota-healthcare-ltd","1,215.10","-2.22%","1,258.00","29,056","4,030.66","-57.88","4.43","1,740.00","752.00","-7.54%","-21.83%","47.13%","288.27%","690.31%","5.77","0.07%","-7.18%","-13.84%","-","1,381.49","1,333.94","34.24","60.00%","70.00%"
"Hemisphere Properties","https://scanx.trade/company/hemisphere-properties-india-ltd","141.40","-0.19%","141.30","4,37,954","4,029.90","-382.97","19.99","190.69","111.03","10.76%","0.87%","11.28%","48.14%","-19.25%","9.18","-","-1.77%","-0.70%","-","135.69","140.74","57.66","50.00%","55.00%"
"Foseco","https://scanx.trade/company/foseco-india-ltd","5,325.10","12.56%","4,989.90","98,310","4,013.67","47.57","16.37","6,846.00","3,205.00","18.17%","3.15%","56.83%","163.45%","336.41%","3.44","0.53%","25.46%","28.55%","101.93","4,741.72","5,131.09","68.94","50.00%","-"
"DB Corp","https://scanx.trade/company/db-corp-ltd","224.63","-0.83%","225.00","17,789","4,003.86","12.73","26.73","291.85","197.80","-10.33%","-13.17%","2.41%","133.75%","124.74%","1.78","5.22%","19.16%","20.64%","26.08","245.10","259.60","37.71","64.81%","-"
"J Kumar Infraprojects","https://scanx.trade/company/jkumar-infraprojects-ltd","528.60","-3.30%","545.55","9,22,794","3,999.68","10.58","19.99","765.60","529.00","-5.21%","-10.32%","-21.19%","102.96%","178.06%","1.30","0.73%","7.60%","20.31%","45.57","567.17","638.06","36.04","66.33%","70.00%"
"VST Industries","https://scanx.trade/company/vst-industries-ltd","233.89","-0.49%","234.51","1,03,981","3,972.88","17.45","16.77","334.65","214.27","-1.89%","-6.39%","-13.15%","-18.89%","-25.01%","3.15","5.81%","24.08%","27.46%","175.81","241.68","264.57","42.51","67.25%","70.00%"
"Kaveri Seed Company","https://scanx.trade/company/kaveri-seed-company-ltd","772.20","-3.23%","798.00","9,86,236","3,972.13","13.66","34.23","1,602.00","790.60","-5.70%","-20.61%","-25.13%","47.76%","52.31%","2.29","0.63%","19.94%","19.03%","61.18","890.58","1,082.47","31.48","50.00%","70.00%"
"Goldiam International","https://scanx.trade/company/goldiam-international-ltd","351.70","-0.35%","352.90","2,53,118","3,971.32","25.53","68.36","444.00","251.35","18.44%","-11.79%","-5.89%","144.66%","419.88%","3.91","0.80%","14.39%","22.56%","8.96","353.15","363.79","45.83","50.00%","70.00%"
"Rattan India Enterprises","https://scanx.trade/company/rattanindia-enterprises-ltd","28.69","-4.84%","30.25","1,64,81,540","3,965.73","-10.04","30.80","69.70","29.35","-12.90%","-35.11%","-32.73%","-28.01%","344.81%","4.03","-","-68.60%","13.68%","8.31","36.99","48.91","27.08","50.00%","60.00%"
"Orient Electric","https://scanx.trade/company/orient-electric-ltd","185.11","-4.83%","194.50","13,26,116","3,949.62","47.81","55.56","248.90","155.35","3.78%","-2.55%","-9.69%","-32.40%","-31.61%","5.86","0.77%","11.78%","17.73%","2.59","175.06","201.68","57.65","50.00%","-"
"Seshaasai Technologies","https://scanx.trade/company/seshaasai-technologies-ltd","242.75","-1.18%","243.60","33,446","3,927.84","17.96","49.35","437.45","227.01","0.48%","-21.95%","-41.00%","-41.00%","-41.00%","3.10","0.43%","-","40.99%","-","261.34","-","40.80","-","-"
"Centum Electronics","https://scanx.trade/company/centum-electronics-ltd","2,660.30","-0.71%","2,674.90","77,715","3,920.26","-125.51","15.18","3,044.00","1,140.30","20.76%","10.24%","113.05%","366.80%","513.61%","9.78","0.22%","-1.40%","10.24%","-","2,350.14","2,421.90","62.16","0.00%","-"
"Goodluck India","https://scanx.trade/company/goodluck-india-ltd","1,176.70","-1.55%","1,191.00","67,971","3,911.18","23.59","18.50","1,349.00","588.85","15.04%","1.67%","82.36%","179.93%","1,523.03%","2.83","0.33%","14.16%","19.32%","42.47","1,107.98","1,111.67","53.91","50.00%","65.00%"
"Knowledge Marine & Engineering Works","https://scanx.trade/company/knowledge-marine-engineering-works-ltd","1,597.70","-2.00%","1,635.00","53,452","3,905.44","60.33","34.23","1,959.30","632.03","1.05%","16.42%","110.54%","51.34%","51.34%","7.86","-","-","24.32%","-","1,743.28","1,224.75","42.61","50.00%","65.00%"
"Jana Small Finance Bank","https://scanx.trade/company/jana-small-finance-bank-ltd","370.80","0.64%","365.40","7,99,141","3,902.93","12.54","9.69","552.50","338.90","-0.67%","-18.24%","-12.18%","0.72%","0.72%","0.91","-","18.72%","7.25%","71.68","392.08","453.72","44.53","60.00%","70.00%"
"Chemplast Sanmar","https://scanx.trade/company/chemplast-sanmar-ltd","245.80","-3.80%","257.00","18,74,155","3,886.33","-13.96","16.37","491.90","231.05","0.24%","-15.69%","-39.26%","-35.81%","-54.11%","137.16","-","-9.32%","1.76%","-","267.00","364.38","37.20","50.00%","-"
"Sindhu Trade Links","https://scanx.trade/company/sindhu-trade-links-ltd","25.15","-0.75%","25.25","3,62,769","3,877.95","-252.70","34.23","39.29","13.00","40.35%","5.81%","64.49%","6.34%","6.34%","2.37","-","-0.19%","11.40%","0.73","21.74","24.61","58.41","50.00%","-"
"Electronics Mart","https://scanx.trade/company/electronics-mart-ltd","100.48","0.23%","101.45","2,83,219","3,865.96","41.09","14.61","168.50","84.90","14.38%","-17.31%","-20.49%","48.20%","18.91%","2.48","-","13.43%","12.47%","5.10","98.55","125.77","51.53","50.00%","65.00%"
"Neogen Chemicals","https://scanx.trade/company/neogen-chemicals-ltd","1,464.30","0.90%","1,456.00","1,23,497","3,863.07","193.32","16.37","1,926.00","966.70","29.39%","23.71%","-14.14%","14.38%","78.78%","4.77","0.07%","10.36%","9.73%","14.17","1,239.51","1,413.55","68.95","50.00%","-"
"Epigral","https://scanx.trade/company/epigral.ltd","891.80","-3.72%","935.00","3,87,978","3,847.34","11.77","16.37","2,114.00","904.60","-16.31%","-39.27%","-45.29%","-12.92%","119.41%","1.89","0.65%","15.62%","22.35%","60.22","1,099.27","1,572.31","29.80","63.22%","-"
"Oriana Power","https://scanx.trade/company/oriana-power-ltd","1,888.65","2.70%","1,839.00","37,275","3,837.58","23.57","-11.88","3,064.00","1,000.00","15.79%","-26.72%","46.15%","495.60%","495.60%","7.33","-","-","32.07%","-","1,987.25","2,275.48","45.31","-","-"
"Bosch Home Comfort","https://scanx.trade/company/johnson-controls-hitachi-air-conditioning-india-ltd","1,408.70","-0.88%","1,429.90","7,054","3,830.38","316.59","112.27","1,893.00","1,270.00","4.69%","-17.91%","-14.49%","15.88%","-45.29%","8.17","1.05%","-12.46%","12.11%","10.14","1,405.00","1,640.35","52.43","50.00%","70.00%"
"Innova Captab","https://scanx.trade/company/innova-captab-ltd","668.25","-0.75%","677.00","27,596","3,824.06","29.16","4.43","1,020.70","624.00","-1.45%","-8.85%","-12.16%","23.43%","23.43%","3.78","-","24.58%","14.13%","18.56","695.18","806.84","42.32","50.00%","-"
"Avantel","https://scanx.trade/company/avantel-ltd","143.38","-1.83%","145.75","4,59,311","3,799.13","239.75","31.31","215.00","97.13","5.25%","-6.71%","31.94%","-26.18%","-26.18%","12.00","0.13%","32.02%","32.29%","2.13","150.75","156.32","42.87","60.00%","60.00%"
"Artemis Medicare Services","https://scanx.trade/company/artemis-medicare-services-ltd","239.90","2.15%","234.80","1,51,158","3,795.23","38.61","37.79","306.15","207.71","6.20%","-16.30%","-4.40%","260.75%","938.08%","3.25","0.17%","10.81%","12.23%","4.07","248.71","250.77","50.54","50.00%","-"
"National Fertilizers","https://scanx.trade/company/national-fertilizers-ltd","77.32","-0.13%","77.30","4,65,269","3,793.15","19.50","75.63","112.20","71.00","-1.63%","-9.21%","-6.35%","22.73%","46.02%","1.48","2.01%","18.03%","9.94%","3.06","82.73","92.37","39.69","63.60%","70.00%"
"Stylam Industries","https://scanx.trade/company/stylam-industries-ltd","2,228.60","0.51%","2,213.10","36,332","3,777.04","26.62","34.23","2,430.00","1,464.25","2.40%","8.00%","39.23%","110.43%","74.27%","5.20","-","23.29%","25.15%","76.61","2,206.70","1,915.26","57.47","50.00%","60.00%"
"Vaibhav Global","https://scanx.trade/company/vaibhav-global-ltd","225.47","-2.52%","230.30","2,85,446","3,766.09","18.35","68.36","293.25","195.00","2.85%","-5.03%","-0.96%","-30.31%","-67.85%","2.65","0.65%","10.07%","14.79%","7.91","232.25","236.72","43.40","50.00%","70.00%"
"Moschip Technologies","https://scanx.trade/company/moschip-technologies-ltd","194.34","-0.59%","196.10","11,13,444","3,744.79","104.55","-6.74","288.45","129.98","14.84%","-10.01%","23.17%","-2.21%","-2.21%","10.26","-","-","11.25%","-","196.98","203.89","48.51","59.17%","70.00%"
"AGI Infra","https://scanx.trade/company/agi-infra-ltd","305.75","-1.04%","309.00","5,23,548","3,735.26","45.00","19.99","317.20","137.00","21.86%","10.98%","87.09%","245.32%","245.32%","11.21","0.03%","27.91%","22.07%","42.64","265.51","237.59","70.12","60.00%","-"
"KNR Constructions","https://scanx.trade/company/knr-constructions-ltd","132.73","-1.29%","135.46","46,36,943","3,732.83","11.18","19.99","254.00","130.28","-1.21%","-19.05%","-40.59%","-46.73%","-35.76%","0.79","0.19%","15.99%","23.09%","27.64","147.64","185.52","37.25","66.95%","70.00%"
